path,inbound_links,page_views_90d,nav_menu,overlapped,created,last_changed,authors,commits
code-search/how-to/opengrok.mdx,2,0,,,2020-06-09,2025-11-24,9,12
code-search/index.mdx,12,100,True,,2024-01-25,2026-03-30,7,11
code-search/queries/examples.mdx,4,0,True,,2019-12-19,2025-11-24,15,24
code-search/queries/index.mdx,48,200,True,,2024-01-25,2026-02-22,8,15
code-search/queries/language.mdx,15,0,True,,2024-03-19,2026-03-10,5,7
code-search/query-assist.mdx,2,0,True,,2026-03-30,2026-03-30,1,1
code-search/types/fuzzy.mdx,0,0,True,,2024-05-20,2025-12-16,3,5
code-search/types/search-jobs.mdx,5,70,True,,2023-10-04,2025-12-14,6,20
code-search/types/structural.mdx,3,0,True,,2019-12-19,2025-12-14,12,22
code-search/types/symbol.mdx,3,0,True,,2025-07-07,2025-12-14,1,5
code-search/working/saved-searches.mdx,4,0,True,,2018-10-17,2025-12-14,10,18
code-search/working/search-contexts.mdx,9,70,True,,2021-05-25,2026-02-25,11,15
code-search/working/search-filters.mdx,0,0,True,,2025-11-24,2025-12-14,1,2
code-search/working/search-subexpressions.mdx,2,0,True,,2024-01-25,2025-12-14,3,4
code-search/working/snippets.mdx,1,20,True,,2018-10-17,2025-11-24,10,12
cody/capabilities/agentic-context-fetching.mdx,2,10,True,,2025-11-24,2025-11-24,1,1
cody/capabilities/auto-edit.mdx,2,0,True,,2025-01-29,2025-11-24,3,3
cody/capabilities/autocomplete.mdx,0,0,True,,2024-03-06,2025-11-24,3,3
cody/capabilities/chat.mdx,3,0,True,,2024-03-15,2025-12-14,7,8
cody/capabilities/debug-code.mdx,2,0,True,,2024-04-08,2025-11-24,3,3
cody/capabilities/edit-modes.mdx,1,0,,,2026-01-06,2026-01-06,1,1
cody/capabilities/ignore-context.mdx,4,0,True,,2024-02-14,2025-11-24,5,5
cody/capabilities/index.mdx,2,0,True,,2023-12-14,2026-01-06,7,8
cody/capabilities/ollama.mdx,0,0,,,2025-11-24,2025-12-16,1,2
cody/capabilities/openctx.mdx,1,0,,,2024-07-01,2025-11-24,3,3
cody/capabilities/prompts.mdx,16,0,True,,2023-12-14,2025-11-24,12,13
cody/capabilities/proxy-setup.mdx,0,0,True,,2024-11-15,2025-11-24,2,2
cody/capabilities/supported-models.mdx,17,0,True,,2024-03-27,2026-09-08,24,46
cody/clients/cody-with-sourcegraph.mdx,4,0,True,,2023-04-19,2025-12-14,8,14
cody/clients/enable-cody-enterprise.mdx,3,0,True,,2023-04-19,2026-04-16,27,48
cody/clients/feature-reference.mdx,4,0,True,,2023-10-04,2025-11-24,8,14
cody/clients/index.mdx,3,0,True,,2024-06-05,2025-12-16,4,5
cody/clients/install-cli.mdx,1,0,,,2024-07-19,2025-11-24,3,3
cody/clients/install-jetbrains.mdx,6,0,True,,2023-06-27,2025-12-14,8,18
cody/clients/install-neovim.mdx,0,0,,,2023-12-01,2025-11-24,3,3
cody/clients/install-visual-studio.mdx,5,0,True,,2025-02-24,2025-12-14,3,4
cody/clients/install-vscode.mdx,9,60,True,,2023-05-05,2025-12-16,18,36
cody/core-concepts/code-graph.mdx,0,0,,,2024-04-08,2025-11-24,2,2
cody/core-concepts/context.mdx,7,0,True,,2024-04-08,2025-12-14,7,8
cody/core-concepts/index.mdx,0,0,,,2024-02-14,2025-11-24,6,6
cody/core-concepts/keyword-search.mdx,1,0,,,2024-04-08,2025-11-24,3,3
cody/core-concepts/local-indexing.mdx,1,0,,,2025-11-03,2025-11-24,2,2
cody/core-concepts/token-limits.mdx,4,0,True,,2024-04-08,2025-11-24,11,12
cody/enterprise/completions-configuration.mdx,1,0,True,,2024-12-12,2026-04-16,5,6
cody/enterprise/features.mdx,0,0,True,,2023-04-19,2025-12-18,26,49
cody/enterprise/model-config-examples.mdx,4,0,True,,2024-11-28,2025-11-24,5,9
cody/enterprise/model-configuration.mdx,18,20,True,,2025-04-30,2025-12-14,5,7
cody/faq.mdx,2,0,True,,2023-04-03,2025-12-14,23,30
cody/index.mdx,5,120,True,,2023-03-06,2025-12-16,22,45
cody/prompts-guide.mdx,0,0,True,,2025-02-24,2025-12-14,3,5
cody/quickstart.mdx,0,0,True,,2023-04-19,2025-12-14,8,13
