branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment
sync/2026-03-23/14-22-06	https://github.com/sourcegraph/docs/tree/sync/2026-03-23/14-22-06	2026-03-23	2026-03-23	172	buildkite-at-sourcegraph	bot	1	156	1710	https://github.com/sourcegraph/docs/pull/1710	2026-03-23	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-25/11-35-18	https://github.com/sourcegraph/docs/tree/sync/2026-03-25/11-35-18	2026-03-25	2026-03-25	170	buildkite-at-sourcegraph	bot	1	156	1711	https://github.com/sourcegraph/docs/pull/1711	2026-03-25	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-27/11-45-04	https://github.com/sourcegraph/docs/tree/sync/2026-03-27/11-45-04	2026-03-27	2026-03-27	168	buildkite-at-sourcegraph	bot	1	152	1717	https://github.com/sourcegraph/docs/pull/1717	2026-03-27	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-27/19-34-44	https://github.com/sourcegraph/docs/tree/sync/2026-03-27/19-34-44	2026-03-27	2026-03-27	167	buildkite-at-sourcegraph	bot	1	152	1719	https://github.com/sourcegraph/docs/pull/1719	2026-03-27	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-27/22-54-52	https://github.com/sourcegraph/docs/tree/sync/2026-03-27/22-54-52	2026-03-27	2026-03-27	167	buildkite-at-sourcegraph	bot	1	150	1721	https://github.com/sourcegraph/docs/pull/1721	2026-03-27	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-31/22-10-15	https://github.com/sourcegraph/docs/tree/sync/2026-03-31/22-10-15	2026-03-31	2026-03-31	163	buildkite-at-sourcegraph	bot	1	142	1729	https://github.com/sourcegraph/docs/pull/1729	2026-03-31	sourcegraph-buildkite	bot	closed unmerged 2026-04-02	DELETE: PR closed without merge
sync/2026-03-31/23-30-31	https://github.com/sourcegraph/docs/tree/sync/2026-03-31/23-30-31	2026-03-31	2026-03-31	163	buildkite-at-sourcegraph	bot	1	142	1730	https://github.com/sourcegraph/docs/pull/1730	2026-03-31	sourcegraph-buildkite	bot	closed unmerged 2026-04-02	DELETE: PR closed without merge
sync/2026-04-01/06-02-36	https://github.com/sourcegraph/docs/tree/sync/2026-04-01/06-02-36	2026-04-01	2026-04-01	163	buildkite-at-sourcegraph	bot	1	141	1732	https://github.com/sourcegraph/docs/pull/1732	2026-04-01	sourcegraph-buildkite	bot	closed unmerged 2026-04-02	DELETE: PR closed without merge
sync/2026-04-01/08-56-22	https://github.com/sourcegraph/docs/tree/sync/2026-04-01/08-56-22	2026-04-01	2026-04-01	163	buildkite-at-sourcegraph	bot	1	141	1733	https://github.com/sourcegraph/docs/pull/1733	2026-04-01	sourcegraph-buildkite	bot	closed unmerged 2026-04-02	DELETE: PR closed without merge
sync/2026-04-01/09-06-03	https://github.com/sourcegraph/docs/tree/sync/2026-04-01/09-06-03	2026-04-01	2026-04-01	163	buildkite-at-sourcegraph	bot	1	141	1734	https://github.com/sourcegraph/docs/pull/1734	2026-04-01	sourcegraph-buildkite	bot	closed unmerged 2026-04-02	DELETE: PR closed without merge
sync/2026-04-01/17-01-48	https://github.com/sourcegraph/docs/tree/sync/2026-04-01/17-01-48	2026-04-01	2026-04-01	163	buildkite-at-sourcegraph	bot	1	141	1735	https://github.com/sourcegraph/docs/pull/1735	2026-04-01	sourcegraph-buildkite	bot	closed unmerged 2026-04-02	DELETE: PR closed without merge
sync/2026-04-02/02-36-29	https://github.com/sourcegraph/docs/tree/sync/2026-04-02/02-36-29	2026-04-02	2026-04-02	162	buildkite-at-sourcegraph	bot	1	141	1736	https://github.com/sourcegraph/docs/pull/1736	2026-04-02	sourcegraph-buildkite	bot	closed unmerged 2026-04-02	DELETE: PR closed without merge
test-check-links-breaks-link	https://github.com/sourcegraph/docs/tree/test-check-links-breaks-link	2026-09-10	2026-09-10	1	marcleblanc2	yes	23	24	1900	https://github.com/sourcegraph/docs/pull/1900	2026-09-10	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=UNKNOWN checks=FAILURE	WIP: draft PR
test-commit-signing	https://github.com/sourcegraph/docs/tree/test-commit-signing	2024-12-11	2024-12-11	638		unknown (no GitHub login on commit)	1	813	845	https://github.com/sourcegraph/docs/pull/845	2024-12-11	loujar	no	closed unmerged 2024-12-11	DELETE: PR closed without merge
test-pr	https://github.com/sourcegraph/docs/tree/test-pr	2023-12-15	2023-12-15	1000	MaedahBatool	no	1	1659	11	https://github.com/sourcegraph/docs/pull/11	2023-12-15	MaedahBatool	no	closed unmerged 2023-12-15	DELETE: PR closed without merge; author left org
test-pr-checks-broken-2	https://github.com/sourcegraph/docs/tree/test-pr-checks-broken-2	2026-09-11	2026-09-11	0	marcleblanc2	yes	12	1	1920	https://github.com/sourcegraph/docs/pull/1920	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=FAILURE	WIP: draft PR
test-pr-checks-remediated-2	https://github.com/sourcegraph/docs/tree/test-pr-checks-remediated-2	2026-09-11	2026-09-11	0	marcleblanc2	yes	14	1	1921	https://github.com/sourcegraph/docs/pull/1921	2026-09-11	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
tl/less-purple-code-blocks	https://github.com/sourcegraph/docs/tree/tl/less-purple-code-blocks	2025-02-20	2025-02-23	564	toolmantim	no	2	687	992	https://github.com/sourcegraph/docs/pull/992	2025-02-20	toolmantim	no	closed unmerged 2025-05-28	DELETE: PR closed without merge; author left org
todo/vercel-audit	https://github.com/sourcegraph/docs/tree/todo/vercel-audit	2026-09-11	2026-09-11	0	marcleblanc2	yes	5	8	1905	https://github.com/sourcegraph/docs/pull/1905	2026-09-11	marcleblanc2	yes	open review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	ACTIVE: open PR
tr/change-cloud-instance-page-title	https://github.com/sourcegraph/docs/tree/tr/change-cloud-instance-page-title	2025-12-09	2025-12-09	275	taiyab	yes	1	307	1470	https://github.com/sourcegraph/docs/pull/1470	2025-12-09	taiyab	yes	closed unmerged 2026-08-26	DELETE: PR closed without merge
ts-enablement-guides	https://github.com/sourcegraph/docs/tree/ts-enablement-guides	2024-03-27	2024-04-01	892		unknown (no GitHub login on commit)	2	1322	209	https://github.com/sourcegraph/docs/pull/209	2024-03-27	MaedahBatool	no	closed unmerged 2024-10-11	DELETE: PR closed without merge
ty/cody-ignore	https://github.com/sourcegraph/docs/tree/ty/cody-ignore	2024-05-02	2024-05-21	842	MaedahBatool	no	29	1197	292	https://github.com/sourcegraph/docs/pull/292	2024-05-02	taras-yemets	yes	closed unmerged 2024-05-28	DELETE: PR closed without merge; author left org
ty/gpt-4o-support-for-enterprise	https://github.com/sourcegraph/docs/tree/ty/gpt-4o-support-for-enterprise	2024-05-29	2024-05-29	835	taras-yemets	yes	1	1186	364	https://github.com/sourcegraph/docs/pull/364	2024-05-29	taras-yemets	yes	closed unmerged 2024-06-19	DELETE: PR closed without merge
update-admin	https://github.com/sourcegraph/docs/tree/update-admin	2024-01-18	2024-01-18	966	MaedahBatool	no	1	1604	44	https://github.com/sourcegraph/docs/pull/44	2024-01-18	MaedahBatool	no	merged 2024-01-18	DELETE: PR already merged; author left org
update-pr-auditor	https://github.com/sourcegraph/docs/tree/update-pr-auditor	2024-06-10	2024-06-10	823		unknown (no GitHub login on commit)	1	1157	398	https://github.com/sourcegraph/docs/pull/398	2024-06-10	BolajiOlajide	yes	closed unmerged 2024-06-10	DELETE: PR closed without merge
update-readme-preview	https://github.com/sourcegraph/docs/tree/update-readme-preview	2024-01-18	2024-01-18	966	MaedahBatool	no	1	1605	43	https://github.com/sourcegraph/docs/pull/43	2024-01-18	MaedahBatool	no	merged 2024-01-18	DELETE: PR already merged; author left org
update-search-jobs-docs	https://github.com/sourcegraph/docs/tree/update-search-jobs-docs		2024-01-22	963	stefanhengl	yes	0	1603	40	https://github.com/sourcegraph/docs/pull/40	2024-01-17	stefanhengl	yes	merged 2024-01-23	DELETE: no commits beyond main
vb/deepsearch-search-contexts-docs	https://github.com/sourcegraph/docs/tree/vb/deepsearch-search-contexts-docs	2026-05-01	2026-05-01	133	valerybugakov	yes	1	114	1766	https://github.com/sourcegraph/docs/pull/1766	2026-05-01	valerybugakov	yes	closed unmerged 2026-05-06	DELETE: PR closed without merge
vincent/add-gql-ratelimits	https://github.com/sourcegraph/docs/tree/vincent/add-gql-ratelimits		2023-12-27	989	evict	no	0	1642	17	https://github.com/sourcegraph/docs/pull/17	2023-12-27	evict	no	merged 2023-12-27	DELETE: no commits beyond main; author left org
vk/add-search-filters-panel-doc	https://github.com/sourcegraph/docs/tree/vk/add-search-filters-panel-doc	2024-02-12	2024-02-12	942	taiyab	yes	4	1507	89	https://github.com/sourcegraph/docs/pull/89	2024-02-12	vovakulikov	yes	closed unmerged 2024-02-12	DELETE: PR closed without merge
vsc-hotkeys	https://github.com/sourcegraph/docs/tree/vsc-hotkeys	2024-04-05	2024-04-05	889	MaedahBatool	no	1	1292	239	https://github.com/sourcegraph/docs/pull/239	2024-04-05	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org
wb/bazel-rust-faq-entry	https://github.com/sourcegraph/docs/tree/wb/bazel-rust-faq-entry	2023-12-28	2024-01-03	982	burmudar	yes	3	1641	18	https://github.com/sourcegraph/docs/pull/18	2023-12-28	burmudar	yes	merged 2024-01-04	DELETE: PR already merged
wb/exec-install-binary-exec	https://github.com/sourcegraph/docs/tree/wb/exec-install-binary-exec	2026-07-23	2026-07-23	50	burmudar	yes	1	61	1824	https://github.com/sourcegraph/docs/pull/1824	2026-07-23	burmudar	yes	open review=REVIEW_REQUIRED merge=UNKNOWN checks=SUCCESS	REVIEW: open PR idle 30-90d
wb/mcp-tabs	https://github.com/sourcegraph/docs/tree/wb/mcp-tabs	2025-11-21	2025-11-21	294	burmudar	yes	1	340	1440	https://github.com/sourcegraph/docs/pull/1440	2025-11-21	burmudar	yes	closed unmerged 2025-11-27	DELETE: PR closed without merge
wb/token-test	https://github.com/sourcegraph/docs/tree/wb/token-test	2025-05-16	2025-05-16	483	burmudar	yes	1	567	1142	https://github.com/sourcegraph/docs/pull/1142	2025-05-16	sourcegraph-bot-devx	bot	closed unmerged 2025-05-16	DELETE: PR closed without merge
wb/use-mise	https://github.com/sourcegraph/docs/tree/wb/use-mise	2025-05-22	2025-05-22	477	burmudar	yes	1	563	1151	https://github.com/sourcegraph/docs/pull/1151	2025-05-22	burmudar	yes	closed unmerged 2025-05-22	DELETE: PR closed without merge
wb/use-pnpm	https://github.com/sourcegraph/docs/tree/wb/use-pnpm	2023-12-28	2023-12-28	988	burmudar	yes	2	1641	19	https://github.com/sourcegraph/docs/pull/19	2023-12-28	burmudar	yes	merged 2024-01-02	DELETE: PR already merged
wg/rel/extra-note-on-PG16-upgrade	https://github.com/sourcegraph/docs/tree/wg/rel/extra-note-on-PG16-upgrade	2025-01-31	2025-02-01	587	Chickensoupwithrice	no	4	739	945	https://github.com/sourcegraph/docs/pull/945	2025-01-31	DaedalusG	yes	closed unmerged 2025-02-03	DELETE: PR closed without merge; author left org
wg/rel/extract-custom-description-from-docs-schemas	https://github.com/sourcegraph/docs/tree/wg/rel/extract-custom-description-from-docs-schemas	2025-06-26	2025-06-26	442	DaedalusG	yes	1	515	1215	https://github.com/sourcegraph/docs/pull/1215	2025-06-26	DaedalusG	yes	closed unmerged 2025-06-26	DELETE: PR closed without merge
wg/rel/update-latest-5.10.3940	https://github.com/sourcegraph/docs/tree/wg/rel/update-latest-5.10.3940	2024-12-19	2024-12-19	631	DaedalusG	yes	1	797	867	https://github.com/sourcegraph/docs/pull/867	2024-12-19	DaedalusG	yes	closed unmerged 2024-12-19	DELETE: PR closed without merge
wg/remove-ref-to-old-docsite-testing	https://github.com/sourcegraph/docs/tree/wg/remove-ref-to-old-docsite-testing	2024-03-28	2024-03-28	896	DaedalusG	yes	1	1312	218	https://github.com/sourcegraph/docs/pull/218	2024-03-28	DaedalusG	yes	closed unmerged 2024-04-29	DELETE: PR closed without merge
will/rules_apko_updates	https://github.com/sourcegraph/docs/tree/will/rules_apko_updates	2024-04-05	2024-04-05	889	willdollman	no	2	1287	237	https://github.com/sourcegraph/docs/pull/237	2024-04-05	willdollman	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org
will/test-pr	https://github.com/sourcegraph/docs/tree/will/test-pr	2024-04-23	2024-04-23	871	willdollman	no	1	1248	273	https://github.com/sourcegraph/docs/pull/273	2024-04-23	willdollman	no	closed unmerged 2024-04-30	DELETE: PR closed without merge; author left org
will/test-pr2	https://github.com/sourcegraph/docs/tree/will/test-pr2	2024-10-22	2024-10-22	689	willdollman	no	1	913	726	https://github.com/sourcegraph/docs/pull/726	2024-10-22	willdollman	no	closed unmerged 2024-10-22	DELETE: PR closed without merge; author left org
will/test-pr-2	https://github.com/sourcegraph/docs/tree/will/test-pr-2		2024-04-23	871	willdollman	no	0	1246						no PR	DELETE: no commits beyond main; author left org
JayOO2/docs:patch-2 (fork)	https://github.com/JayOO2/docs/tree/patch-2		2025-12-16	269	JayOO2	no			1478	https://github.com/sourcegraph/docs/pull/1478	2025-12-16	JayOO2	no	open review=REVIEW_REQUIRED merge=UNKNOWN checks=FAILURE	STALE: open PR idle >90d, ping author or close; author left org
TheNoumanDev/docs:images-alt-fixes (fork)	https://github.com/TheNoumanDev/docs/tree/images-alt-fixes		2026-03-27	167	TheNoumanDev	no			1696	https://github.com/sourcegraph/docs/pull/1696	2026-03-19	TheNoumanDev	no	open review=REVIEW_REQUIRED merge=UNKNOWN checks=FAILURE	STALE: open PR idle >90d, ping author or close; author left org
rvkasper/docs:patch-2 (fork)	https://github.com/rvkasper/docs/tree/patch-2		2026-06-24	78	rvkasper	no			1790	https://github.com/sourcegraph/docs/pull/1790	2026-06-22	rvkasper	no	open review=REVIEW_REQUIRED merge=UNKNOWN checks=FAILURE	REVIEW: open PR idle 30-90d; author left org
