branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment
docs-explicit-permissions-external-api-cf8568f9-dbb8-4609-a80c-8ad8e2ea5106	https://github.com/sourcegraph/docs/tree/docs-explicit-permissions-external-api-cf8568f9-dbb8-4609-a80c-8ad8e2ea5106	2026-06-16	2026-06-16	86	bobheadxi	yes	1	99	1785	https://github.com/sourcegraph/docs/pull/1785	2026-06-16	bobheadxi	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
docs-legacy-versions	https://github.com/sourcegraph/docs/tree/docs-legacy-versions	2024-05-30	2024-05-30	834	MaedahBatool	no	1	1181						no PR	DELETE?: no PR, idle >180d; author left org
docs-url-rewrite-88cfd6e5-d8f4-47ad-a67e-f9286a430b5a	https://github.com/sourcegraph/docs/tree/docs-url-rewrite-88cfd6e5-d8f4-47ad-a67e-f9286a430b5a	2026-09-03	2026-09-03	8	bahrmichael	yes	1	36	1851	https://github.com/sourcegraph/docs/pull/1851	2026-09-03	bahrmichael	yes	open review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	ACTIVE: open PR
edit-this-page	https://github.com/sourcegraph/docs/tree/edit-this-page	2024-03-27	2024-03-28	896	MaedahBatool	no	3	1320	212	https://github.com/sourcegraph/docs/pull/212	2024-03-27	MaedahBatool	no	closed unmerged 2024-05-27	DELETE: PR closed without merge; author left org
eg-auth-token-clarifications	https://github.com/sourcegraph/docs/tree/eg-auth-token-clarifications	2026-04-17	2026-04-17	146	enriquegh	yes	1	126	1754	https://github.com/sourcegraph/docs/pull/1754	2026-04-17	enriquegh	yes	open review=APPROVED merge=BEHIND checks=SUCCESS	STALE: open PR idle >90d, ping author or close
eg-chat-vision	https://github.com/sourcegraph/docs/tree/eg-chat-vision	2025-12-11	2025-12-11	273	enriquegh	yes	1	304	1474	https://github.com/sourcegraph/docs/pull/1474	2025-12-11	enriquegh	yes	open review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	STALE: open PR idle >90d, ping author or close
ent-feature-matrix	https://github.com/sourcegraph/docs/tree/ent-feature-matrix	2024-04-30	2024-05-01	862	MaedahBatool	no	4	1242	285	https://github.com/sourcegraph/docs/pull/285	2024-04-30	MaedahBatool	no	closed unmerged 2024-08-16	DELETE: PR closed without merge; author left org
ent-llm-dropdown	https://github.com/sourcegraph/docs/tree/ent-llm-dropdown	2024-07-16	2024-07-17	786	MaedahBatool	no	3	1073	498	https://github.com/sourcegraph/docs/pull/498	2024-07-16	MaedahBatool	no	closed unmerged 2024-08-13	DELETE: PR closed without merge; author left org
es/cs	https://github.com/sourcegraph/docs/tree/es/cs	2026-04-26	2026-04-26	138	eseliger	yes	2	120	1760	https://github.com/sourcegraph/docs/pull/1760	2026-04-26	eseliger	yes	open review=APPROVED merge=DIRTY checks=SUCCESS	REVIEW: open PR idle 30-90d
fix-broken-links-algolia	https://github.com/sourcegraph/docs/tree/fix-broken-links-algolia	2024-03-21	2024-03-21	904	MaedahBatool	no	1	1355	187	https://github.com/sourcegraph/docs/pull/187	2024-03-21	MaedahBatool	no	closed unmerged 2024-05-21	DELETE: PR closed without merge; author left org
fix-broken-links-and-anchors	https://github.com/sourcegraph/docs/tree/fix-broken-links-and-anchors	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1861	https://github.com/sourcegraph/docs/pull/1861	2026-09-06	marcleblanc2	yes	closed unmerged 2026-09-09	DELETE: PR closed without merge
fix-dead-section-links	https://github.com/sourcegraph/docs/tree/fix-dead-section-links	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1865	https://github.com/sourcegraph/docs/pull/1865	2026-09-07	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
fix-discord-link	https://github.com/sourcegraph/docs/tree/fix-discord-link	2024-01-08	2024-01-08	976	MaedahBatool	no	1	1632	26	https://github.com/sourcegraph/docs/pull/26	2024-01-08	MaedahBatool	no	merged 2024-01-08	DELETE: PR already merged; author left org
fix-intro	https://github.com/sourcegraph/docs/tree/fix-intro	2024-01-19	2024-01-19	965	MaedahBatool	no	1	1602	47	https://github.com/sourcegraph/docs/pull/47	2024-01-19	MaedahBatool	no	merged 2024-01-19	DELETE: PR already merged; author left org
fix-moved-page-links	https://github.com/sourcegraph/docs/tree/fix-moved-page-links	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1866	https://github.com/sourcegraph/docs/pull/1866	2026-09-07	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
fix-reworded-anchors-admin	https://github.com/sourcegraph/docs/tree/fix-reworded-anchors-admin	2026-09-07	2026-09-07	3	marcleblanc2	yes	2	30	1868	https://github.com/sourcegraph/docs/pull/1868	2026-09-07	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
fix-reworded-anchors-cody-batch-insights	https://github.com/sourcegraph/docs/tree/fix-reworded-anchors-cody-batch-insights	2026-09-07	2026-09-07	3	marcleblanc2	yes	2	30	1871	https://github.com/sourcegraph/docs/pull/1871	2026-09-07	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
fix-reworded-anchors-misc	https://github.com/sourcegraph/docs/tree/fix-reworded-anchors-misc	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1872	https://github.com/sourcegraph/docs/pull/1872	2026-09-07	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
fix-reworded-anchors-search-nav	https://github.com/sourcegraph/docs/tree/fix-reworded-anchors-search-nav	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1870	https://github.com/sourcegraph/docs/pull/1870	2026-09-07	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
fix-reworded-anchors-self-hosted	https://github.com/sourcegraph/docs/tree/fix-reworded-anchors-self-hosted	2026-09-07	2026-09-07	3	marcleblanc2	yes	1	30	1869	https://github.com/sourcegraph/docs/pull/1869	2026-09-07	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
fix-toc	https://github.com/sourcegraph/docs/tree/fix-toc	2024-01-02	2024-01-02	982	MaedahBatool	no	1	1638	22	https://github.com/sourcegraph/docs/pull/22	2024-01-02	MaedahBatool	no	merged 2024-01-02	DELETE: PR already merged; author left org
fix-trailing-whitespace	https://github.com/sourcegraph/docs/tree/fix-trailing-whitespace	2025-07-10	2025-07-10	427		unknown (no GitHub login on commit)	1	483						no PR	DELETE?: no PR, idle >180d
fix-typo	https://github.com/sourcegraph/docs/tree/fix-typo	2023-12-19	2023-12-19	996	MaedahBatool	no	1	1658	13	https://github.com/sourcegraph/docs/pull/13	2023-12-19	MaedahBatool	no	merged 2023-12-19	DELETE: PR already merged; author left org
fragment-redirects	https://github.com/sourcegraph/docs/tree/fragment-redirects	2026-09-08	2026-09-08	3	marcleblanc2	yes	1	30	1879	https://github.com/sourcegraph/docs/pull/1879	2026-09-08	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
ga-tag-manager	https://github.com/sourcegraph/docs/tree/ga-tag-manager	2024-03-14	2024-03-27	898	MaedahBatool	no	2	1336	156	https://github.com/sourcegraph/docs/pull/156	2024-03-14	MaedahBatool	no	closed unmerged 2024-05-07	DELETE: PR closed without merge; author left org
gabe/update-db-migrations	https://github.com/sourcegraph/docs/tree/gabe/update-db-migrations	2024-04-25	2024-05-24	839	gabtorre	yes	6	1191						no PR	DELETE?: no PR, idle >180d
gabe/update-db-migrations-rebased	https://github.com/sourcegraph/docs/tree/gabe/update-db-migrations-rebased	2024-04-25	2024-05-24	839	gabtorre	yes	6	1191						no PR	DELETE?: no PR, idle >180d
gabe/update-dc-db-operations	https://github.com/sourcegraph/docs/tree/gabe/update-dc-db-operations	2024-05-24	2024-05-24	839	gabtorre	yes	3	1190						no PR	DELETE?: no PR, idle >180d
hackathon-autocomplete	https://github.com/sourcegraph/docs/tree/hackathon-autocomplete	2024-11-05	2024-11-05	674	MaedahBatool	no	2	880	770	https://github.com/sourcegraph/docs/pull/770	2024-11-05	adocomplete	no	closed unmerged 2025-01-14	DELETE: PR closed without merge; author left org
hackathon-chat	https://github.com/sourcegraph/docs/tree/hackathon-chat	2024-11-05	2024-11-05	674	MaedahBatool	no	2	880	769	https://github.com/sourcegraph/docs/pull/769	2024-11-05	adocomplete	no	closed unmerged 2025-02-10	DELETE: PR closed without merge; author left org
hackathon-cody-visual-studio	https://github.com/sourcegraph/docs/tree/hackathon-cody-visual-studio	2024-11-05	2024-11-26	653	MaedahBatool	no	4	836	765	https://github.com/sourcegraph/docs/pull/765	2024-11-05	adocomplete	no	closed unmerged 2025-01-14	DELETE: PR closed without merge; author left org
hackathon-core-concepts	https://github.com/sourcegraph/docs/tree/hackathon-core-concepts	2024-11-05	2024-11-05	674	MaedahBatool	no	2	879	778	https://github.com/sourcegraph/docs/pull/778	2024-11-05	adocomplete	no	closed unmerged 2025-02-10	DELETE: PR closed without merge; author left org
hackathon-debug	https://github.com/sourcegraph/docs/tree/hackathon-debug	2024-11-05	2024-11-05	674	MaedahBatool	no	2	879	773	https://github.com/sourcegraph/docs/pull/773	2024-11-05	adocomplete	no	closed unmerged 2025-01-14	DELETE: PR closed without merge; author left org
hackathon-prompts	https://github.com/sourcegraph/docs/tree/hackathon-prompts	2024-11-05	2024-11-12	667	morgangauth	no	3	880	771	https://github.com/sourcegraph/docs/pull/771	2024-11-05	adocomplete	no	closed unmerged 2024-11-26	DELETE: PR closed without merge; author left org
hawkse/fix-legacy-current-version-manifest	https://github.com/sourcegraph/docs/tree/hawkse/fix-legacy-current-version-manifest	2026-08-31	2026-09-01	10	HawkSE	yes	3	36	1849	https://github.com/sourcegraph/docs/pull/1849	2026-08-31	HawkSE	yes	closed unmerged 2026-09-04	DELETE: PR closed without merge
hello-world-readme-f9e3d1	https://github.com/sourcegraph/docs/tree/hello-world-readme-f9e3d1	2026-06-03	2026-06-03	100	vovakulikov	yes	1	106	1778	https://github.com/sourcegraph/docs/pull/1778	2026-06-03	vovakulikov	yes	closed unmerged 2026-06-11	DELETE: PR closed without merge
imp-search-results	https://github.com/sourcegraph/docs/tree/imp-search-results	2025-03-27	2025-04-02	526	MaedahBatool	no	3	644	1048	https://github.com/sourcegraph/docs/pull/1048	2025-03-27	MaedahBatool	no	closed unmerged 2025-04-02	DELETE: PR closed without merge; author left org
internal-link-checker	https://github.com/sourcegraph/docs/tree/internal-link-checker	2026-01-26	2026-01-26	228	eugenio-sanchez-sg	yes	1	231	1562	https://github.com/sourcegraph/docs/pull/1562	2026-01-26	eugenio-sanchez-sg	yes	draft review=REVIEW_REQUIRED merge=DIRTY checks=SUCCESS	WIP: draft PR
jb-release-apr	https://github.com/sourcegraph/docs/tree/jb-release-apr	2024-04-02	2024-04-02	891	MaedahBatool	no	1	1306	223	https://github.com/sourcegraph/docs/pull/223	2024-04-02	MaedahBatool	no	closed unmerged 2024-04-05	DELETE: PR closed without merge; author left org
jd/hackathon-o1-troubleshooting	https://github.com/sourcegraph/docs/tree/jd/hackathon-o1-troubleshooting	2024-11-05	2024-11-12	668	jdorfman	yes	11	879	796	https://github.com/sourcegraph/docs/pull/796	2024-11-12	jdorfman	yes	closed unmerged 2024-11-12	DELETE: PR closed without merge
jd/remove-es-callout	https://github.com/sourcegraph/docs/tree/jd/remove-es-callout	2025-10-03	2025-10-03	343	jdorfman	yes	1	397	1372	https://github.com/sourcegraph/docs/pull/1372	2025-10-03	jdorfman	yes	closed unmerged 2025-10-03	DELETE: PR closed without merge
jdp/hackathon/versionsuptodate	https://github.com/sourcegraph/docs/tree/jdp/hackathon/versionsuptodate	2024-09-24	2024-09-24	716	jdpleiness	no	1	962						no PR	DELETE?: no PR, idle >180d; author left org
jh/test	https://github.com/sourcegraph/docs/tree/jh/test	2024-03-19	2024-03-19	906	jhchabran	no	1	1385	170	https://github.com/sourcegraph/docs/pull/170	2024-03-19	sourcegraph-buildkite	bot	closed unmerged 2024-03-19	DELETE: PR closed without merge; author left org
jhh/deepsearch-guide-troubleshooting	https://github.com/sourcegraph/docs/tree/jhh/deepsearch-guide-troubleshooting	2026-03-12	2026-03-12	183	jasonhawkharris	yes	2	167	1683	https://github.com/sourcegraph/docs/pull/1683	2026-03-12	jasonhawkharris	yes	closed unmerged 2026-03-16	DELETE: PR closed without merge
jlxu/fix-deep-search-dead-links-and-nav	https://github.com/sourcegraph/docs/tree/jlxu/fix-deep-search-dead-links-and-nav	2026-03-02	2026-03-02	192	julialeex	yes	1	180	1664	https://github.com/sourcegraph/docs/pull/1664	2026-03-02	julialeex	yes	closed unmerged 2026-03-02	DELETE: PR closed without merge
julialeex/add-supported-models	https://github.com/sourcegraph/docs/tree/julialeex/add-supported-models	2025-11-26	2025-11-26	288	julialeex	yes	1	329						no PR	DELETE?: no PR, idle >180d
